record_ID,units_sold
212645,21.0
212646,20.0
212647,25.0
212648,25.0
212649,27.0
212653,24.0
212654,38.0
212657,12.0
212658,14.0
212661,170.0
212662,101.0
212663,50.0
212666,73.0
212667,80.0
212668,119.0
212671,39.0
212672,125.0
212673,64.0
212674,280.0
212675,26.0
212676,11.0
212677,82.0
212678,43.0
212679,45.0
212681,41.0
212682,64.0
212683,21.0
212686,94.0
212687,82.0
212688,29.0
212689,6.0
212691,22.0
212692,50.0
212693,57.0
212694,39.0
212695,38.0
212696,30.0
212697,100.0
212698,35.0
212699,181.0
212700,28.0
212701,17.0
212702,46.0
212703,40.0
212704,36.0
212705,33.0
212706,41.0
212707,49.0
212709,10.0
212710,7.0
212711,32.0
212712,41.0
212713,36.0
212716,26.0
212717,40.0
212718,21.0
212719,23.0
212721,104.0
212722,29.0
212723,122.0
212724,16.0
212725,11.0
212727,33.0
212728,50.0
212729,41.0
212731,37.0
212732,47.0
212734,8.0
212735,4.0
212736,10.0
212737,255.0
212738,220.0
212739,63.0
212740,22.0
212742,84.0
212743,103.0
212744,230.0
212748,233.0
212749,93.0
212750,381.0
212751,49.0
212752,27.0
212754,131.0
212755,71.0
212756,117.0
212757,43.0
212758,61.0
212759,91.0
212760,14.0
212761,72.0
212763,14.0
212764,99.0
212765,88.0
212767,49.0
212768,49.0
212769,72.0
212772,39.0
212773,66.0
212774,31.0
212775,167.0
212776,13.0
212777,8.0
212778,49.0
212779,24.0
212782,41.0
212783,50.0
212787,211.0
212788,127.0
212789,65.0
212790,17.0
212792,91.0
212793,100.0
212794,140.0
212796,145.0
212797,164.0
212798,307.0
212799,31.0
212800,16.0
212802,101.0
212803,51.0
212805,47.0
212806,59.0
212807,75.0
212809,30.0
212812,40.0
212816,13.0
212817,27.0
212818,37.0
212819,18.0
212820,21.0
212821,25.0
212822,75.0
212823,26.0
212824,121.0
212825,21.0
212826,13.0
212828,40.0
212829,44.0
212830,34.0
212831,34.0
212832,41.0
212833,44.0
212834,30.0
212835,26.0
212837,8.0
212838,18.0
212839,27.0
212840,24.0
212843,56.0
212844,17.0
212845,98.0
212846,15.0
212849,19.0
212850,26.0
212853,33.0
212856,40.0
212857,23.0
212860,14.0
212861,41.0
212862,51.0
212863,13.0
212866,139.0
212867,44.0
212868,172.0
212869,35.0
212870,25.0
212872,49.0
212873,62.0
212874,43.0
212875,39.0
212876,42.0
212877,48.0
212879,20.0
212880,19.0
212881,31.0
212884,13.0
212885,30.0
212886,21.0
212888,14.0
212889,48.0
212890,17.0
212891,85.0
212892,19.0
212893,19.0
212896,32.0
212899,7.0
212900,13.0
212901,23.0
212902,21.0
212903,13.0
212905,41.0
212906,12.0
212907,65.0
212910,16.0
212911,12.0
212914,18.0
212915,92.0
212916,77.0
212917,34.0
212919,41.0
212920,51.0
212921,81.0
212924,79.0
212925,46.0
212926,223.0
212927,13.0
212929,65.0
212930,41.0
212931,24.0
212932,74.0
212933,55.0
212934,58.0
212935,14.0
212936,60.0
212937,55.0
212938,18.0
212940,37.0
212941,37.0
212942,38.0
212946,55.0
212947,45.0
212948,134.0
212949,46.0
212950,32.0
212951,31.0
212952,41.0
212954,49.0
212955,29.0
